Timestamp,What is your gender?,What is your height (in inches)?
1/25/2016 8:15:15,Female,63
1/25/2016 8:15:21,Female,62
1/25/2016 8:15:25,Male,69
1/25/2016 8:15:29,Female,68
1/25/2016 8:15:37,Male,71.65
1/25/2016 8:15:37,Male,75
1/25/2016 8:15:39,Male,68.8976
1/25/2016 8:15:40,Male,74
1/25/2016 8:15:41,Female,65
1/25/2016 8:15:44,Female,5'4
1/25/2016 8:15:45,Female,"5'8"""
1/25/2016 8:15:45,Female,5'5
1/25/2016 8:15:46,Female,64
1/25/2016 8:15:46,Female,67
1/25/2016 8:15:47,Male,69
1/25/2016 8:15:49,Male,5.8
1/25/2016 8:15:50,Female,67
1/25/2016 8:15:50,Female,68.8976
1/25/2016 8:15:51,Female,62.6
1/25/2016 8:15:52,Male,70
1/25/2016 8:15:54,Female,69
1/25/2016 8:15:56,Female,65
1/25/2016 8:15:57,Female,63
1/25/2016 8:15:59,Male,67.3
1/25/2016 8:16:14,Female,64.2
1/25/2016 8:16:16,Female,63
1/25/2016 8:16:19,Male,5.1
1/25/2016 8:16:19,Male,67
1/25/2016 8:16:22,Male,5.11
1/25/2016 8:16:30,Female,61
1/25/2016 8:16:34,Female,61
1/25/2016 8:17:02,Female,68.11
1/25/2016 8:17:16,Female,66.14
1/25/2016 8:18:36,Female,67.5
1/25/2016 8:19:24,Female,60
1/25/2016 8:20:50,Female,5.7
1/25/2016 8:24:35,Female,67.72
1/25/2016 8:28:54,Female,66
1/25/2016 8:29:00,Male,5'7
1/25/2016 8:34:06,Female,70
1/25/2016 14:39:56,Female,5'6
1/25/2016 16:32:52,Female,64.5
1/25/2016 16:57:54,Female,68
1/25/2016 19:52:43,Male,69
1/25/2016 21:18:33,Male,68
1/25/2016 22:02:03,Male,"5'11"""
1/25/2016 22:55:06,Male,76
1/25/2016 23:49:35,Male,70.8661
1/26/2016 0:09:20,Male,66
1/26/2016 3:51:04,Female,67
1/26/2016 8:36:33,I prefer not to disclose,"5'10"""
1/26/2016 8:42:16,Male,71
1/26/2016 9:49:07,Female,62.5
1/26/2016 9:49:15,Male,"5'7"""
1/26/2016 9:49:19,Male,5'7
1/26/2016 9:49:21,Male,172
1/26/2016 9:50:56,Female,60
1/26/2016 9:51:03,Male,67
1/26/2016 9:51:19,Female,5'8
1/26/2016 9:51:38,Male,75
1/26/2016 9:51:51,Male,65
1/26/2016 9:52:35,Male,65
1/26/2016 9:52:54,Female,64
1/26/2016 9:53:56,Female,62
1/26/2016 9:54:02,Male,180
1/26/2016 9:55:01,Male,75
1/26/2016 9:55:07,Male,"5' 11"""
1/26/2016 9:56:03,Female,67
1/26/2016 9:57:39,Male,72
1/26/2016 10:00:09,Female,5
1/26/2016 10:01:24,Male,68
1/26/2016 10:01:51,Female,64
1/26/2016 10:01:58,Male,180
1/26/2016 10:01:59,Male,180
1/26/2016 10:02:26,Male,"6'1"""
1/26/2016 10:03:45,Male,75.4
1/26/2016 10:05:04,Female,68
1/26/2016 10:08:16,Male,70
1/26/2016 10:09:55,Male,5.9
1/26/2016 10:12:47,Female,63
1/26/2016 10:13:06,Female,5.2
1/26/2016 10:15:37,Male,73
1/26/2016 10:15:39,Male,72
1/26/2016 10:21:11,Female,68
1/26/2016 10:27:25,Female,61
1/26/2016 10:36:37,Female,60
1/26/2016 10:40:07,Male,5.5
1/26/2016 10:40:26,Female,63
1/26/2016 10:44:54,Male,67
1/26/2016 10:53:37,Female,"69"""
1/26/2016 10:57:37,Male,74
1/26/2016 11:00:02,Female,68
1/26/2016 11:12:44,Male,70
1/26/2016 11:14:41,Male,73
1/26/2016 11:19:51,Male,70
1/26/2016 11:24:06,Female,60
1/26/2016 11:34:16,Female,66
1/26/2016 11:53:28,Female,68
1/26/2016 11:55:08,Male,"5' 7"""
1/26/2016 11:57:35,Male,65
1/26/2016 12:02:05,Male,71
1/26/2016 12:02:30,Female,5'10''
1/26/2016 12:38:40,Male,65
1/26/2016 12:42:42,Male,72.8346
1/26/2016 13:09:41,Female,5.51
1/26/2016 13:25:44,Male,5'10
1/26/2016 13:27:47,Male,70
1/26/2016 13:28:40,Female,65
1/26/2016 13:46:49,Male,5'10
1/26/2016 14:02:10,Male,70
1/26/2016 15:05:55,Female,67.7
1/26/2016 15:16:11,Female,62
1/26/2016 15:19:32,Male,5ft 9 inches
1/26/2016 15:19:51,Male,5 ft 9 inches
1/26/2016 15:38:25,Female,5'2
1/26/2016 16:20:24,Male,74
1/26/2016 16:42:11,Male,5'11
1/26/2016 16:46:16,Female,70
1/26/2016 17:03:28,Male,64
1/26/2016 17:38:42,Male,73
1/26/2016 18:01:04,Male,70
1/26/2016 18:34:20,Male,66
1/26/2016 18:34:39,Male,66
1/26/2016 18:55:43,Male,5.8
1/26/2016 18:57:44,Female,62
1/26/2016 19:13:39,Female,66
1/26/2016 19:18:18,Female,64
1/26/2016 19:55:26,Male,67
1/26/2016 20:03:11,Male,71
1/26/2016 20:14:13,Male,78
1/26/2016 21:17:39,Male,69
1/26/2016 21:25:54,Female,5.7
1/26/2016 21:38:49,Male,70
1/26/2016 21:46:40,Female,65
1/26/2016 22:42:10,Male,70
1/26/2016 23:08:56,Male,167
1/26/2016 23:20:11,Male,71
1/27/2016 1:38:01,Male,68
1/27/2016 1:42:15,Female,67
1/27/2016 3:15:06,Male,168
1/27/2016 6:29:41,Female,64
1/27/2016 7:42:10,Male,68
1/27/2016 8:27:52,Female,60
1/27/2016 9:34:14,Female,64
1/27/2016 11:48:40,Male,73.2
1/27/2016 16:10:21,Male,6
1/27/2016 18:39:40,Male,71
1/27/2016 20:42:03,Female,67